mirId	Cancer	Profile	PubMed Article
hsa-mir-145	lung adenocarcinoma	down	MiR-145 inhibits cell proliferation of human lung adenocarcinoma by targeting EGFR and NUDT1.
hsa-mir-145	lung adenocarcinoma	down	microRNA-145 suppresses lung adenocarcinoma-initiating cell proliferation by targeting OCT4.
hsa-mir-145	lung adenocarcinoma	down	[miR-145 inhibits lung adenocarcinoma stem cells proliferation by targeting OCT4 gene].
hsa-mir-145	lung cancer	down	Uncovering growth-suppressive MicroRNAs in lung cancer.
hsa-mir-145	nasopharyngeal carcinoma	down	MicroRNA deregulation and pathway alterations in nasopharyngeal carcinoma.
hsa-mir-145	neuroblastoma	down	NEDD9, a novel target of miR-145, increases the invasiveness of glioblastoma.
hsa-mir-145	non-small cell lung cancer	down	miRNA-145 inhibits non-small cell lung cancer cell proliferation by targeting c-Myc.
hsa-mir-145	non-small cell lung cancer	down	Use of Luminex xMAP bead-based suspension array for detecting microRNA in NSCLC tissues and its clinical application.
hsa-mir-145	oral squamous cell carcinoma	down	Downregulation of miR-145 expression in oral squamous cell carcinomas and its clinical significance.
hsa-mir-145	oral squamous cell carcinoma	down	MiR-145 inhibits oral squamous cell carcinoma (OSCC) cell growth by targeting c-Myc and Cdk6.
hsa-mir-145	osteosarcoma	down	MicroRNA-145 targets vascular endothelial growth factor and inhibits invasion and metastasis of osteosarcoma cells.
hsa-mir-145	primary cns lymphomas	down	Differential micro-RNA expression in primary CNS and nodal diffuse large B-cell lymphomas.
hsa-mir-145	prostate cancer	down	Restoration of miR-145 expression suppresses cell proliferation, migration and invasion in prostate cancer by targeting FSCN1.
hsa-mir-145	prostate cancer	down	MicroRNA-145 is regulated by DNA methylation and p53 gene mutation in prostate cancer.
hsa-mir-145	prostate cancer	down	The functional significance of microRNA-145 in prostate cancer.
hsa-mir-146a	breast cancer	down	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.
hsa-mir-146a	breast cancer	down	Clinical significance of miR-146a in gastric cancer cases.
hsa-mir-146a	gastric cancer	down	microRNA-146a targets the L1 cell adhesion molecule and suppresses the metastatic potential of gastric cancer.
hsa-mir-146a	gastric cancer	up	microRNA-146a inhibits G protein-coupled receptor-mediated activation of NF-kappaB by targeting CARD10 and COPS8 in gastric cancer.
hsa-mir-146a	gastric cancer	down	MicroRNA-146a is down-regulated in gastric cancer and regulates cell proliferation and apoptosis.
hsa-mir-146a	gastric cancer	up	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-146a	gastric cancer	down	Clinical significance of miR-146a in gastric cancer cases.
hsa-mir-146a	glioma	down	MicroRNA-146a inhibits glioma development by targeting Notch1.
hsa-mir-146a	hepatocellular carcinoma	down	Expression of microRNAs, miR-21, miR-31, miR-122, miR-145, miR-146a, miR-200c, miR-221, miR-222, and miR-223 in patients with hepatocellular carcinoma or intrahepatic cholangiocarcinoma and its progno
hsa-mir-146a	hepatocellular carcinoma	up	Serum microRNA characterization identifies miR-885-5p as a potential marker for detecting liver pathologies.
hsa-mir-146a	malignant melanoma	down	Altered expression of selected microRNAs in melanoma: antiproliferative and proapoptotic activity of miRNA-155.
hsa-mir-146a	non-small cell lung cancer	down	miR-146a inhibits cell growth, cell migration and induces apoptosis in non-small cell lung cancer cells.
hsa-mir-146a	pancreatic cancer	down	miR-146a suppresses invasion of pancreatic cancer cells.
hsa-mir-146a	pancreatic cancer	down	Clinical significance of miR-146a in gastric cancer cases.
hsa-mir-146a	prostate cancer	down	Clinical significance of miR-146a in gastric cancer cases.
hsa-mir-146a	renal cell carcinoma	up	Carbamylated albumin stimulates microRNA-146, which is increased in human renal cell carcinoma.
hsa-mir-146b	breast cancer	down	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.
hsa-mir-146b	glioma	down	microRNA-146b inhibits glioma cell migration and invasion by targeting MMPs.
hsa-mir-146b	malignant melanoma	down	Altered expression of selected microRNAs in melanoma: antiproliferative and proapoptotic activity of miRNA-155.
hsa-mir-146b	non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-mir-146b	papillary thyroid carcinoma	up	MicroRNA analysis as a potential diagnostic tool for papillary thyroid carcinoma.
hsa-mir-146b	renal cell carcinoma	up	Carbamylated albumin stimulates microRNA-146, which is increased in human renal cell carcinoma.
hsa-mir-146b-5p	glioblastoma	down	MiR-146b-5p suppresses EGFR expression and reduces in vitro migration and invasion of glioma.
hsa-mir-147	breast cancer	down	Global microRNA level regulation of EGFR-driven cell-cycle protein network in breast cancer.
hsa-mir-147	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-148a	breast cancer	down	A regulatory circuit of miR-148a/152 and DNMT1 in modulating cell transformation and tumor angiogenesis through IGF-IR and IRS1.
hsa-mir-148a	cervical squamous cell carcinoma	down	MiRNAs and their association with locoregional staging and survival following surgery for esophageal carcinoma.
hsa-mir-148a	gastric cancer	up	miR-148a promoted cell proliferation by targeting p27 in gastric cancer cells.
hsa-mir-148a	gastric cancer	down	MicroRNA-148a suppresses tumor cell invasion and metastasis by downregulating ROCK1 in gastric cancer.
hsa-mir-148a	gastric cancer	down	MicroRNA-148a is silenced by hypermethylation and interacts with DNA methyltransferase 1 in gastric cancer.
hsa-mir-148a	gastrointestinal cancer	down	MicroRNA-148b is frequently down-regulated in gastric cancer and acts as a tumor suppressor by inhibiting cell proliferation.
hsa-mir-148a	non-small cell lung cancer	down	MicroRNA-148a suppresses epithelial-to-mesenchymal transition by targeting ROCK1 in non-small cell lung cancer cells.
hsa-mir-148a	ovarian cancer	down	Altered expression of miR-152 and miR-148a in ovarian cancer is related to cell proliferation.
hsa-mir-148a	pancreatic ductal adenocarcinoma	down	Knockdown of microRNA-21 inhibits proliferation and increases cell death by targeting programmed cell death 4 (PDCD4) in pancreatic ductal adenocarcinoma.
hsa-mir-148a	pancreatic ductal adenocarcinoma	down	MicroRNA-148a is down-regulated in human pancreatic ductal adenocarcinomas and regulates cell survival by targeting CDC25B.
hsa-mir-148b	colorectal cancer	down	MicroRNA-148b suppresses cell growth by targeting cholecystokinin-2 receptor in colorectal cancer.
hsa-mir-148b	gastric cancer	down	MicroRNA-148b is frequently down-regulated in gastric cancer and acts as a tumor suppressor by inhibiting cell proliferation.
hsa-mir-148b	ovarian cancer	up	Increased expression of miR-148b in ovarian carcinoma and its clinical significance.
hsa-mir-148b	ovarian carcinoma	up	Increased expression of miR-148b in ovarian carcinoma and its clinical significance.
hsa-mir-148b	pancreatic cancer	down	miR-148b functions as a tumor suppressor in pancreatic cancer by targeting AMPK?1.
hsa-mir-149	gastric cancer	down	MicroRNA-149 inhibits proliferation and cell cycle progression through the targeting of ZBTB2 in human gastric cancer.
hsa-mir-149	head and neck squamous cell carcinoma	down	The association between genetic polymorphism and the processing efficiency of miR-149 affects the prognosis of patients with head and neck squamous cell carcinoma.
hsa-mir-149	nasopharyngeal carcinoma	up	miR-149 promotes epithelial-mesenchymal transition and invasion in nasopharyngeal carcinoma cells.
hsa-mir-149	non-small cell lung cancer	down	miR-149 Inhibits Non-Small-Cell Lung Cancer Cells EMT by Targeting FOXM1.
hsa-mir-150	chronic myelogenous leukemia	down	Down-regulation of hsa-miR-10a in chronic myeloid leukemia CD34+ cells increases USF2-mediated cell growth.
hsa-mir-150	esophageal squamous cell carcinoma	down	MiR-150 is associated with poor prognosis in esophageal squamous cell carcinoma via targeting the EMT inducers ZEB1.
hsa-mir-150	gastric cancer	up	MiR-150 promotes gastric cancer proliferation by negatively regulating the pro-apoptotic gene EGR2.
hsa-mir-150	mantle cell lymphoma	down	microRNA expression profile and identification of miR-29 as a prognostic marker and pathogenetic factor by targeting CDK6 in mantle cell lymphoma.
hsa-mir-150*	colorectal cancer	up	MicroRNA expression profiles in human colorectal cancers with liver metastases.
hsa-mir-150*	pancreatic cancer	down	Upregulation of miR-150* and miR-630 Induces Apoptosis in Pancreatic Cancer Cells by Targeting IGF-1R.
hsa-mir-151	chronic myelogenous leukemia	down	Down-regulation of hsa-miR-10a in chronic myeloid leukemia CD34+ cells increases USF2-mediated cell growth.
hsa-mir-151-3p	osteosarcoma	up	MicroRNA-199a-3p is downregulated in human osteosarcoma and regulates cell proliferation and migration.
hsa-mir-152	breast cancer	down	A regulatory circuit of miR-148a/152 and DNMT1 in modulating cell transformation and tumor angiogenesis through IGF-IR and IRS1.
hsa-mir-152	endometrial cancer	down	miR-152 is a tumor suppressor microRNA that is silenced by DNA hypermethylation in endometrial cancer.
hsa-mir-152	gastrointestinal cancer	down	MicroRNA-148b is frequently down-regulated in gastric cancer and acts as a tumor suppressor by inhibiting cell proliferation.
hsa-mir-152	glioma	down	MiR-15b and miR-152 reduce glioma cell invasion and angiogenesis via NRP-2 and MMP-3.
hsa-mir-152	ovarian cancer	down	Altered expression of miR-152 and miR-148a in ovarian cancer is related to cell proliferation.
hsa-mir-153	glioblastoma	down	MicroRNA-153 is tumor suppressive in glioblastoma stem cells.
hsa-mir-153	prostate cancer	up	Upregulation of miR-153 promotes cell proliferation via downregulation of the PTEN tumor suppressor gene in human prostate cancer.
hsa-mir-154	prostate cancer	down	miR-154 inhibits prostate cancer cell proliferation by targeting CCND2.
hsa-mir-155	bladder cancer	down	Expression of microRNAs in the Urine of Patients With Bladder Cancer.
hsa-mir-155	breast cancer	up	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.
hsa-mir-155	breast cancer	up	MicroRNA-155 functions as an OncomiR in breast cancer by targeting the suppressor of cytokine signaling 1 gene.
hsa-mir-155	breast cancer	up	MicroRNA-155 regulates cell survival, growth, and chemosensitivity by targeting FOXO3a in breast cancer.
hsa-mir-155	breast cancer	up	[Expression and its clinical significance of miR-155 in human primary breast cancer].
hsa-mir-155	breast cancer	up	Clinical significance of MicoRNA-155 expression in human breast cancer.
hsa-mir-155	chronic lymphocytic leukemia	up	Signal Transducer and Activator of Transcription-3 Induces MicroRNA-155 Expression in Chronic Lymphocytic Leukemia.
hsa-mir-155	chronic myelogenous leukemia	down	Downregulation of miR-31, miR-155, and miR-564 in chronic myeloid leukemia cells.
hsa-mir-155	clear cell renal cell cancer	up	microRNA-155 silencing inhibits proliferation and migration and induces apoptosis by upregulating BACH1 in renal cancer cells.
hsa-mir-155	colorectal cancer	up	Upregulation of microRNA-155 promotes the migration and invasion of colorectal cancer cells through the regulation of claudin-1 expression.
hsa-mir-155	cutaneous t-cell lymphoma	up	STAT5-mediated expression of oncogenic miR-155 in cutaneous T-cell lymphoma.
hsa-mir-155	diffuse large B-cell lymphoma	up	Coordinated expression of microRNA-155 and predicted target genes in diffuse large B-cell lymphoma.
hsa-mir-155	gastric cancer	down	microRNA-155 is downregulated in gastric cancer cells and involved in cell metastasis.
hsa-mir-155	lung cancer	up	Inhibition of hypoxia-induced miR-155 radiosensitizes hypoxic lung cancer cells.
hsa-mir-155	lung cancer	up	MiR-155 inhibits the sensitivity of lung cancer cells to cisplatin via negative regulation of Apaf-1 expression.
hsa-mir-155	lung cancer	up	Differential MicroRNAs Expression in Serum of Patients with Lung Cancer, Pulmonary Tuberculosis, and Pneumonia.
hsa-mir-155	malignant melanoma	down	Altered expression of selected microRNAs in melanoma: antiproliferative and proapoptotic activity of miRNA-155.
hsa-mir-155	malignant melanoma	down	MicroRNA-155 targets the SKI gene in human melanoma cell lines.
hsa-mir-155	malt lymphoma	up	Overexpression of miR-142-5p and miR-155 in gastric mucosa-associated lymphoid tissue (MALT) lymphoma resistant to Helicobacter pylori eradication.
hsa-mir-155	mantle cell lymphoma	up	microRNA expression profile and identification of miR-29 as a prognostic marker and pathogenetic factor by targeting CDK6 in mantle cell lymphoma.
hsa-mir-155	nasopharyngeal carcinoma	up	Upregulation of MiR-155 in nasopharyngeal carcinoma is partly driven by LMP1 and LMP2A and downregulates a negative prognostic marker JMJD1A.
hsa-mir-155	non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-mir-155	ovarian cancer	down	MicroRNA-155 is a novel suppressor of ovarian cancer-initiating cells that targets CLDN1.
hsa-mir-155	rectal cancer	up	The quantitative analysis by stem-loop real-time PCR revealed the microRNA-34a, microRNA-155 and microRNA-200c overexpression in human colorectal cancer.
hsa-mir-155	renal clear cell carcinoma	up	miRNA profiling for clear cell renal cell carcinoma: biomarker discovery and identification of potential controls and consequences of miRNA dysregulation.
hsa-mir-155	squamous carcinoma	up	Unique MicroRNA Expression Profiles in Cervical Cancer.
hsa-mir-15a	chronic lymphocytic leukemia	down	Human microRNA genes are frequently located at fragile sites and genomic regions involved in cancers.
hsa-mir-15a	chronic lymphocytic leukemia	down	miR-15 and miR-16 induce apoptosis by targeting BCL2.
hsa-mir-15a	chronic lymphocytic leukemia	down	Aberrant microRNA expression in Chinese patients with chronic lymphocytic leukemia.
hsa-mir-15a	colorectal cancer	down	Downregulation of miR-195 correlates with lymph node metastasis and poor prognosis in colorectal cancer.
hsa-mir-15a	neuroblastoma	up	miR-15a/16-1 enhances retinoic acid-mediated differentiation of leukemic cells and is up-regulated by retinoic acid.
hsa-mir-15a	neuroblastoma	up	MicroRNA-15a promotes neuroblastoma migration by targeting reversion-inducing cysteine-rich protein with Kazal motifs (RECK) and regulating matrix metalloproteinase-9 expression.
hsa-mir-15a	pancreatic cancer	down	Dysregulation of miR-15a and miR-214 in human pancreatic cancer.
hsa-mir-15a	pancreatic cancer	up	Dysregulation of miR-15a and miR-214 in human pancreatic cancer.
hsa-mir-15a	squamous carcinoma	down	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-mir-15b	colorectal cancer	down	Downregulation of miR-195 correlates with lymph node metastasis and poor prognosis in colorectal cancer.
hsa-mir-15b	glioma	down	MiR-15b and miR-152 reduce glioma cell invasion and angiogenesis via NRP-2 and MMP-3.
hsa-mir-15b	malignant melanoma	up	MicroRNA-15b represents an independent prognostic parameter and is correlated with tumor cell proliferation and apoptosis in malignant melanoma.
hsa-mir-15b	tongue cancer	down	MiR-200b and miR-15b regulate chemotherapy-induced epithelial-mesenchymal transition in human tongue cancer cells by targeting BMI1.
hsa-mir-16	breast cancer	down	Downregulation of the tumor-suppressor miR-16 via progestin-mediated oncogenic signaling contributes to breast cancer development.
hsa-mir-16	colorectal cancer	down	microRNA-16 represses colorectal cancer cell growth in vitro by regulating the p53/survivin signaling pathway.
hsa-mir-16	colorectal cancer	down	Association of microRNA expression with microsatellite instability status in colorectal adenocarcinoma.
hsa-mir-16	colorectal cancer	down	Downregulation of miR-195 correlates with lymph node metastasis and poor prognosis in colorectal cancer.
hsa-mir-16	esophageal squamous cell carcinoma	up	Expression of microRNAs in squamous cell carcinoma of human head and neck and the esophagus: miR-205 and miR-21 are specific markers for HNSCC and ESCC.
hsa-mir-16	head and neck squamous cell carcinoma	up	Expression of microRNAs in squamous cell carcinoma of human head and neck and the esophagus: miR-205 and miR-21 are specific markers for HNSCC and ESCC.
hsa-mir-16	hepatocellular carcinoma	down	Circulating microRNAs as biomarkers for hepatocellular carcinoma.
hsa-mir-16	laryngeal carcinoma	up	MicroRNA-16 targets zyxin and promotes cell motility in human laryngeal carcinoma cell line HEp-2.
hsa-mir-16	osteosarcoma	down	MicroRNA signatures associate with pathogenesis and progression of osteosarcoma.
hsa-mir-16	osteosarcoma	down	miR-16 inhibits cell proliferation by targeting IGF1R and the Raf1-MEK1/2-ERK1/2 pathway in osteosarcoma.
hsa-mir-16	pancreatic ductal adenocarcinoma	down	MicroRNAs Targeting Oncogenes Are Down-Regulated in Pancreatic Malignant Transformation from Benign Tumors.
hsa-mir-16	squamous carcinoma	down	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-mir-17	acute myeloid leukemia	down	HIF-1? downregulates miR-17/20a directly targeting p21 and STAT3: a role in myeloid leukemic cell differentiation.
hsa-mir-17	colorectal cancer	up	Association of microRNA expression with microsatellite instability status in colorectal adenocarcinoma.
hsa-mir-17	colorectal carcinoma	up	Up-regulated miR-17 promotes cell proliferation, tumour growth and cell cycle progression by targeting the RND3 tumour suppressor gene in colorectal carcinoma.
hsa-mir-17	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-17	glioma	up	Increased expression of microRNA-17 predicts poor prognosis in human glioma.
hsa-mir-17	glioma	up	Identification and functional characterization of microRNAs involved in the malignant progression of gliomas.
hsa-mir-17	medulloblastoma	up	The miR-17/92 polycistron is up-regulated in sonic hedgehog-driven medulloblastomas and induced by N-myc in sonic hedgehog-treated cerebellar neural precursors.
hsa-mir-17	nasopharyngeal cancer	up	Circulating miR-17, miR-20a, miR-29c, and miR-223 Combined as Non-Invasive Biomarkers in Nasopharyngeal Carcinoma.
hsa-mir-17-5p	bladder cancer	up	Micro-RNA profiling in kidney and bladder cancers.
hsa-mir-17-5p	breast cancer	down	Mir-17-5p regulates breast cancer cell proliferation by inhibiting translation of AIB1 mRNA.
hsa-mir-17-5p	breast cancer	up	miR-17-5p promotes human breast cancer cell migration and invasion through suppression of HBP1.
hsa-mir-17-5p	cervical cancer	down	MiR-17-5p targets TP53INP1 and regulates cell proliferation and apoptosis of cervical cancer cells.
hsa-mir-17-5p	gastric cancer	up	Circulating microRNAs in plasma of patients with gastric cancers.
hsa-mir-17-5p	gastric cancer	up	Prognostic impact of circulating miR-21 in the plasma of patients with gastric carcinoma.
hsa-mir-17-5p	hepatocellular carcinoma	up	miR-17-5p Promotes migration of human hepatocellular carcinoma cells through the p38 mitogen-activated protein kinase-heat shock protein 27 pathway.
hsa-mir-17-5p	hepatocellular carcinoma	up	miR-17-5p as a novel prognostic marker for hepatocellular carcinoma.
hsa-mir-17-5p	malignant melanoma	up	Altered expression of selected microRNAs in melanoma: antiproliferative and proapoptotic activity of miRNA-155.
hsa-mir-17-5p	malignant melanoma	up	Regulation of cancer aggressive features in melanoma cells by microRNAs.
hsa-mir-17-5p	non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-mir-17-5p	pancreatic cancer	up	MicroRNA miR-17-5p is overexpressed in pancreatic cancer, associated with a poor prognosis, and involved in cancer cell proliferation and invasion.
hsa-mir-17-5p	pancreatic cancer	up	MicroRNA-10a is overexpressed in human pancreatic cancer and involved in its invasiveness partially via suppression of the HOXA1 gene.
hsa-mir-17-5p	pancreatic cancer	up	miR-17-5p Inhibitor Enhances Chemosensitivity to Gemcitabine Via Upregulating Bim Expression in Pancreatic Cancer Cells.
hsa-mir-181a	acute myeloid leukemia	down	MicroRNA 181a Influences the Expression of HMGB1 and CD4 in Acute Leukemias.
hsa-mir-181a	breast cancer	up	Transforming growth factor-? regulates the sphere-initiating stem cell-like feature in breast cancer through miRNA-181 and ATM.
hsa-mir-181a	breast cancer	down	Decreased serum miR-181a is a potential new tool for breast cancer screening.
hsa-mir-181a	chronic lymphocytic leukemia	down	Aberrant microRNA expression in Chinese patients with chronic lymphocytic leukemia.
hsa-mir-181a	chronic lymphocytic leukemia	down	miR-181a/b significantly enhances drug sensitivity in chronic lymphocytic leukemia cells via targeting multiple anti-apoptosis genes.
hsa-mir-181a	gastric cancer	up	MicroRNA-181a promotes gastric cancer by negatively regulating tumor suppressor KLF6.
hsa-mir-181a	gastric cancer	up	Genetic polymorphism at miR-181a binding site contributes to gastric cancer susceptibility.
hsa-mir-181a	glioma	down	hsa-mir-181a and hsa-mir-181b function as tumor suppressors in human glioma cells.
hsa-mir-181a	oral squamous cell carcinoma	down	miR-181a shows tumor suppressive effect against oral squamous cell carcinoma cells by downregulating K-ras.
hsa-mir-181a	osteosarcoma	up	MicroRNA signatures associate with pathogenesis and progression of osteosarcoma.
hsa-mir-181a	osteosarcoma	up	MicroRNA 181a improves proliferation and invasion, suppresses apoptosis of osteosarcoma cell.
hsa-mir-181a-2*	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-181b	breast cancer	up	Transforming growth factor-? regulates the sphere-initiating stem cell-like feature in breast cancer through miRNA-181 and ATM.
hsa-mir-181b	chronic lymphocytic leukemia	down	Aberrant microRNA expression in Chinese patients with chronic lymphocytic leukemia.
hsa-mir-181b	chronic lymphocytic leukemia	down	miR-181a/b significantly enhances drug sensitivity in chronic lymphocytic leukemia cells via targeting multiple anti-apoptosis genes.
hsa-mir-181b	gastric adenocarcinoma	down	MicroRNA-181b targets cAMP responsive element binding protein 1 in gastric adenocarcinomas.
hsa-mir-181b	gastric cancer	down	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-181b	glioma	down	hsa-mir-181a and hsa-mir-181b function as tumor suppressors in human glioma cells.
hsa-mir-181b	glioma	down	MiRNA-181b suppresses IGF-1R and functions as a tumor suppressor gene in gliomas.
hsa-mir-181b	osteosarcoma	up	MicroRNA signatures associate with pathogenesis and progression of osteosarcoma.
hsa-mir-181b	prostate cancer	up	MicroRNA-181b expression in prostate cancer tissues and its influence on the biological behavior of the prostate cancer cell line PC-3.
hsa-mir-181c	osteosarcoma	up	MicroRNA signatures associate with pathogenesis and progression of osteosarcoma.
hsa-mir-181d	glioma	down	MiR-181d acts as a tumor suppressor in glioma by targeting K-ras and Bcl-2.
hsa-mir-182	bladder cancer	up	Synthetic miRNA-mowers targeting miR-183-96-182 cluster or miR-210 inhibit growth and migration and induce apoptosis in bladder cancer cells.
hsa-mir-182	breast cancer	up	Up-regulation of miR-182 by ?-catenin in breast cancer increases tumorigenicity and invasiveness by targeting the matrix metalloproteinase inhibitor RECK.
hsa-mir-182	breast cancer	up	Suppression of MIM by microRNA-182 activates RhoA and promotes breast cancer metastasis.
hsa-mir-182	colorectal cancer	up	Up-regulation of miR-182 expression in colorectal cancer tissues and its prognostic value.
hsa-mir-182	gastric adenocarcinoma	down	MicroRNA-182 targets cAMP-responsive element-binding protein?1 and suppresses cell growth in human gastric adenocarcinoma.
hsa-mir-182	glioma	up	The miR-183/96/182 Cluster Regulates Oxidative Apoptosis and Sensitizes Cells to Chemotherapy in Gliomas.
hsa-mir-182	glioma	up	miR-182 as a prognostic marker for glioma progression and patient survival.
hsa-mir-182	hepatocellular carcinoma	up	MicroRNA-182 downregulates metastasis suppressor 1 and contributes to metastasis of hepatocellular carcinoma.
hsa-mir-182	lung cancer	up	Differential MicroRNAs Expression in Serum of Patients with Lung Cancer, Pulmonary Tuberculosis, and Pneumonia.
hsa-mir-182	malignant melanoma	up	Aberrant miR-182 expression promotes melanoma metastasis by repressing FOXO3 and microphthalmia-associated transcription factor.
hsa-mir-182	ovarian cancer	up	The upregulation of signal transducer and activator of transcription 5-dependent microRNA-182 and microRNA-96 promotes ovarian cancer cell proliferation by targeting forkhead box O3 upon leptin stimul
hsa-mir-182	ovarian carcinoma	up	MicroRNA-182 promotes cell growth, invasion and chemoresistance by targeting programmed cell death 4 (PDCD4) in human ovarian carcinomas.
hsa-mir-182	prostate cancer	up	miR-183-96-182 cluster is overexpressed in prostate tissue and regulates zinc homeostasis in prostate cells.
hsa-mir-182	uveal melanoma	down	Role of microRNA-182 in posterior uveal melanoma: regulation of tumor development through MITF, BCL2 and cyclin D2.
hsa-mir-182-5p	bladder cancer	up	Oncogenic miRNA-182-5p targets Smad4 and RECK in human bladder cancer.
hsa-mir-182-5p	prostate cancer	up	MicroRNA-182-5p Promotes Cell Invasion and Proliferation by Down Regulating FOXF2, RECK and MTSS1 Genes in Human Prostate Cancer.
hsa-mir-1826	breast cancer	down	MicroRNA-1826 targets VEGFC, beta-catenin (CTNNB1) and MEK1 (MAP2K1) in human bladder cancer.
hsa-mir-1826	kidney cancer	down	MicroRNA-1826 directly targets beta-catenin (CTNNB1) and MEK1 (MAP2K1) in VHL-inactivated renal cancer.
hsa-mir-183	bladder cancer	up	Synthetic miRNA-mowers targeting miR-183-96-182 cluster or miR-210 inhibit growth and migration and induce apoptosis in bladder cancer cells.
hsa-mir-183	bladder cancer	up	MicroRNA expression signatures of bladder cancer revealed by deep sequencing.
hsa-mir-183	breast cancer	down	Dysregulated miR-183 inhibits migration in breast cancer cells.
hsa-mir-183	colorectal cancer	up	Association of microRNA expression with microsatellite instability status in colorectal adenocarcinoma.
hsa-mir-183	glioma	up	The miR-183/96/182 Cluster Regulates Oxidative Apoptosis and Sensitizes Cells to Chemotherapy in Gliomas.
hsa-mir-183	hepatocellular carcinoma	up	miR-183 inhibits TGF-beta1-induced apoptosis by downregulation of PDCD4 expression in human hepatocellular carcinoma cells.
hsa-mir-183	medullary thyroid carcinoma	up	MicroRNA profiling of sporadic and hereditary medullary thyroid cancer identifies predictors of nodal metastasis, prognosis, and potential therapeutic targets.
hsa-mir-183	osteosarcoma	down	Down-regulation of miR-183 promotes migration and invasion of osteosarcoma by targeting Ezrin.
hsa-mir-183	prostate cancer	up	miR-183-96-182 cluster is overexpressed in prostate tissue and regulates zinc homeostasis in prostate cells.
hsa-mir-183	prostate cancer	up	microRNA-183 is an oncogene targeting Dkk-3 and SMAD4 in prostate cancer.
hsa-mir-184	glioma	down	Identification and functional characterization of microRNAs involved in the malignant progression of gliomas.
hsa-mir-184	malignant melanoma	down	Regulation of cancer aggressive features in melanoma cells by microRNAs.
hsa-mir-184	neuroblastoma	down	MicroRNA-184 inhibits neuroblastoma cell survival through targeting the serine/threonine kinase AKT2.
hsa-mir-184	neuroblastoma	down	MicroRNA-184-mediated inhibition of tumour growth in an orthotopic murine model of neuroblastoma.
hsa-mir-185	bladder cancer	up	Micro-RNA profiling in kidney and bladder cancers.
hsa-mir-185	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-185	glioma	down	LRRC4 inhibits glioma cell growth and invasion through a miR-185-dependent pathway.
hsa-mir-185	malignant melanoma	down	Regulation of cancer aggressive features in melanoma cells by microRNAs.
hsa-mir-186	colon carcinoma	down	[Expression of hsa-miR-186 and its role in human colon carcinoma cells].
hsa-mir-186	non-small cell lung cancer	down	miR-186 downregulation correlates with poor survival in lung adenocarcinoma, where it interferes with cell-cycle regulation.
hsa-mir-18a	bladder cancer	down	microRNA-18a, a member of the oncogenic miR-17-92 cluster, targets Dicer and suppresses cell proliferation in bladder cancer T24 cells.
hsa-mir-18a	colon cancer	up	MicroRNA-18a Attenuates DNA Damage Repair through Suppressing the Expression of Ataxia Telangiectasia Mutated in Colorectal Cancer.
hsa-mir-18a	colorectal cancer	up	microRNA expression profile in stage III colorectal cancer: Circulating miR-18a and miR-29a as promising biomarkers.
hsa-mir-18a	esophageal squamous cell carcinoma	up	Clinical impact of circulating miR-18a in plasma of patients with oesophageal squamous cell carcinoma.
hsa-mir-18a	gastric cancer	up	MicroRNA profiling of human gastric cancer.
hsa-mir-18a	malignant melanoma	up	Altered expression of selected microRNAs in melanoma: antiproliferative and proapoptotic activity of miRNA-155.
hsa-mir-18a	medulloblastoma	up	The miR-17/92 polycistron is up-regulated in sonic hedgehog-driven medulloblastomas and induced by N-myc in sonic hedgehog-treated cerebellar neural precursors.
hsa-mir-18a	nasopharyngeal carcinoma	up	miR-18a promotes malignant progression by impairing microRNA biogenesis in nasopharyngeal carcinoma.
hsa-mir-18a	non-small cell lung cancer	up	Peripheral Blood miR-328 Expression as a Potential Biomarker for the Early Diagnosis of NSCLC.
hsa-mir-18a	pancreatic cancer	up	Novel diagnostic value of circulating miR-18a in plasma of patients with pancreatic cancer.
hsa-mir-18a	pancreatic ductal adenocarcinoma	up	Circulating MicroRNAs in Serum of Human K-ras Oncogene Transgenic Rats With Pancreatic Ductal Adenocarcinomas.
hsa-mir-191	breast cancer	up	Differential expression of miR-21, miR-125b and miR-191 in breast cancer tissue.
